120-1,1 sigma,120-2,1 sigma,300-1,1 sigma,300-2,1 sigma,600-1,1 sigma,600-2,1 sigma,1200-1,1 sigma,1200-2,1 sigma
95.00383601,0.585566987,96.67629611,0.591586653,96.1736395,0.975895227,97.32947834,1.095336066,94.0430111,1.028701439,91.60827118,1.365958915,79.7184632,4.995202577,92.03575788,3.209459664
162.0010924,0.958666341,97.03668825,0.491549039,164.0556191,2.167404044,165.6038298,3.368584788,96.20231467,0.768407313,93.4992762,0.88413872,87.15880381,4.133693067,92.75976738,1.406638021
228.0150106,1.239764509,99.07850382,0.592207175,168.3877014,1.682089402,165.9176821,3.052130786,96.2351956,1.206086912,95.28441647,1.474486722,93.49795582,1.251129543,97.24140963,4.187456846
237.7286053,1.341218205,170.9619798,0.940234113,170.7096024,1.521418325,166.0870961,1.318648764,97.9423154,1.649657172,97.08440034,2.12008366,93.88195167,3.88198318,99.18244573,0.95880014
260.0511602,1.92062312,171.4887246,0.994934347,174.4708271,1.663542834,166.9541277,1.908363198,166.5091499,1.934059356,165.2336216,2.583738372,95.31602708,6.622827443,99.32925316,2.37098189
265.3863774,1.405827003,220.4478216,1.129895342,198.3923744,2.028477297,167.4296427,1.436026468,166.6605157,1.705057274,166.2409469,1.238497711,97.5335235,1.115212738,99.50417996,3.187931112
388.0998251,2.464391254,235.2680068,1.561456844,199.4695188,1.93368884,169.8240744,1.679799637,166.9553226,2.217968404,166.9500107,2.055506291,98.35540995,1.29743886,101.3672508,0.618082401
404.9833269,1.788189927,237.5233966,1.38997147,215.8703409,2.435615048,175.5720821,1.563938376,167.0226208,3.266224366,167.7130238,1.393180487,164.7638632,2.514775915,163.4802187,1.213524294
409.9686007,2.247007956,238.1231645,1.339506385,218.8915174,4.480819903,212.9999455,1.90651741,168.9495714,2.737650895,169.5721424,2.078854682,165.4011066,1.625048344,167.3941745,2.748697165
415.2171713,2.54473323,238.4269118,1.326073353,226.147984,3.148971566,214.4484019,1.98444498,169.5361691,1.692452224,170.0326308,1.447531962,165.9439489,4.974890736,168.3820215,14.31115638
429.2527714,2.498407227,257.5087491,1.397823239,227.0972562,2.960260512,221.4169925,1.679126171,170.3839845,3.854955324,170.4737183,1.195670563,165.9988289,1.516900781,168.4166062,5.442990643
440.4224778,2.679363917,262.2390013,1.187055608,229.6041815,2.617668742,222.3475065,1.583340002,172.3516465,1.738805766,171.3424109,1.929387535,166.3227188,2.00880805,168.4796649,1.730833666
468.5279958,2.699554266,262.4297451,1.79049701,229.6429828,2.838955784,223.8925659,2.796999436,172.5993206,3.844828171,173.6174043,8.945686358,167.5489294,2.001672178,168.8762527,1.847644102
516.7072185,3.11022535,287.7567859,2.385456858,236.381015,1.656409206,225.9822299,2.351762823,173.6688078,1.217288206,183.4484925,2.327112981,168.9811396,6.374569284,169.1093978,1.192070433
521.9439256,2.835319365,288.4658991,2.242865504,243.8953982,2.56493494,227.1658353,1.98385292,177.3259469,1.458269056,185.9314806,2.898008694,169.5019081,1.464883673,169.4850126,1.704412734
587.6250098,3.91788795,308.1597154,1.653414739,244.2560525,5.29968869,227.3449673,1.901508357,179.1434502,1.382614681,186.8702618,1.614656855,170.3040284,3.909530131,169.7250397,6.109943352
592.8520986,4.419089001,308.6207338,2.158542291,245.3956199,2.38765038,228.4840306,1.81531944,179.6232284,1.879828689,197.2810273,2.670527476,171.0080195,2.740132104,169.9932391,2.560742851
594.7639409,3.465082868,392.9825867,3.148397722,246.1547041,2.118361067,235.0420529,2.527244935,208.0312476,4.885616008,198.2748333,3.279250719,171.880839,2.010773724,170.2381769,1.03471832
604.6182009,3.572799604,405.5469379,2.328606564,246.3489042,2.668227875,236.5416969,2.679874457,215.1796553,1.829361626,204.5697771,2.116861493,172.3262847,1.570596055,171.4280342,2.037968488
620.9054271,3.870629789,417.6409215,2.10706637,247.5781225,2.7321815,238.085227,1.933714106,217.1180978,3.55029272,218.4946704,4.135192494,172.9756659,2.04709218,172.1838382,1.652007987
631.1576478,3.398259571,418.6765843,2.747620404,247.6390028,2.437719446,243.413652,1.966309879,222.160944,4.414020896,220.6308422,5.280374526,173.6010778,6.024730231,172.2580895,1.721716719
821.1760179,4.394902727,522.7349665,3.350899368,253.0835625,2.233714302,247.8765777,2.28315219,226.7970371,2.969603254,221.6099528,1.688252482,174.5977801,5.38079771,172.9999365,1.621046517
951.0944607,5.595198333,531.8525624,2.814727228,254.1217326,2.690523875,251.6499281,2.236131847,227.8948123,2.784730986,223.8612424,2.391180285,181.8619988,1.462025108,173.2477823,2.158299295
977.9230556,6.19773875,543.9703875,3.572383817,261.2205773,2.229983706,252.0978514,1.996419765,229.2858199,2.482733434,224.8512531,4.034516576,182.7320666,1.928028164,173.4079229,1.580623181
991.0591425,4.912121336,571.731055,3.088769718,262.305733,2.29581592,269.493993,2.089511419,231.7299896,4.148571836,225.0015853,2.636852651,206.8207426,10.03136282,174.0684728,1.696939368
991.0929247,7.152001073,574.6563413,5.945455219,285.4496775,3.325192177,280.6591968,3.552817242,232.5208226,10.90424329,225.3037303,3.059936931,209.9793527,1.652694761,174.3196524,7.607605535
1000.715421,5.714663898,607.4065964,3.870224183,303.9825887,2.324088074,300.63905,3.050562045,236.2277441,1.704031688,225.9340946,4.734261388,210.9437119,3.840544408,174.36454,1.916358677
1003.346744,5.956187961,617.9523116,3.422224488,333.3256955,3.130683753,304.9173401,2.295339086,236.6356374,2.707952973,226.3146846,1.785168166,217.4458249,4.315599494,176.5581603,4.241980548
1004.855777,5.665788471,673.6788135,3.835813873,333.6263652,3.82468539,308.7396975,1.88186684,237.2340315,7.777347167,227.8642604,1.800082626,218.1119077,6.369811243,177.7730599,1.934490109
1011.118194,6.599659998,735.6461973,3.318417119,339.0391665,3.039313904,324.6010971,2.31030521,238.3421993,3.982143073,229.5396288,17.81995253,222.5625971,2.077114514,178.0318092,1.452169396
1014.568785,6.13259887,811.0504291,4.542174434,364.1480398,3.560064516,336.4750774,2.556718364,238.9346125,5.345527225,229.6239709,4.572835555,222.6544959,1.447183811,178.5389901,1.8995567
1023.742274,5.945501361,936.9697777,4.992001554,365.5384701,4.436985015,339.8918903,2.650033806,240.9496793,3.773663537,235.3505523,2.364001586,223.1075026,2.473103924,181.2921917,6.366204157
1025.174439,5.007060354,973.008771,4.628184918,376.3282808,4.066522091,340.6853513,2.360608741,241.6256025,2.36909816,235.4794482,4.134214898,226.115691,2.367539133,185.0664624,4.156481086
1028.536212,5.134702815,983.4236629,8.648672238,376.4479077,3.574985166,354.8448463,2.939348693,243.7899236,2.080918989,235.7354733,1.736626504,227.1026646,3.639753533,186.199449,2.741235468
1031.509299,5.17497992,998.1786168,6.214723379,401.1116259,3.241858735,376.9646569,3.630561822,245.0907872,5.99357058,236.2283754,10.00693109,227.624454,2.551204751,189.8696733,7.116031471
1044.417803,4.863621154,1001.105112,5.326203168,406.9488684,5.137380534,389.3852364,2.880927672,247.291329,2.339512005,236.6497264,2.067574335,228.6055354,3.311405689,194.3543135,1.22824187
1045.717187,6.535953177,1007.441905,5.218668149,412.598961,3.465110164,395.9752054,2.615734955,248.3009738,1.570868448,237.5682398,8.097365594,228.6462255,3.814411002,199.4838358,1.527221616
1048.60135,6.122697982,1009.89266,5.330077827,415.3078268,4.272962785,397.3288688,3.314864493,248.880309,3.318996194,238.4335879,1.494482823,229.0341565,3.196967536,203.1438564,1.901675718
1057.401717,5.035188393,1011.203188,6.171132085,415.6919152,3.382322354,405.9463823,3.323479141,249.593871,2.932134837,238.9392032,3.701461706,229.0816293,3.384860043,214.5222384,5.26744709
1063.235267,6.688214395,1011.823088,5.782434154,421.8130721,3.63414509,406.6899806,4.548223888,250.3214509,2.48041929,243.0866324,1.93811516,229.462832,2.55883877,217.0242006,12.58512462
1063.369333,11.21397705,1014.902843,6.205597782,426.4131431,3.656911541,410.7629566,2.461657794,251.8589971,3.655172292,243.9899894,4.001428002,230.0437543,1.30973581,219.3915721,8.083516353
1067.152768,5.506242248,1016.704057,6.245910267,432.0774763,3.212742451,411.4428923,2.866380218,252.5071546,2.341921901,244.729797,1.548832137,230.5790275,3.120473931,220.2153252,1.395563728
